APT_ICAO,date,APT_NAME,STATE_NAME,FLT_DEP_1,FLT_ARR_1,FLT_TOT_1,DLY_APT_ARR_1,FLT_ARR_1_DLY,FLT_ARR_1_DLY_15,DLY_APT_ARR_W_1,DLY_APT_ARR_D_1,type,latitude_deg,longitude_deg,elevation_ft,iso_country,iso_region,municipality,scheduled_service,year,month,month_name,day_of_week,is_weekend,quarter,season,delay_per_arr,pct_arr_delayed,pct_arr_delayed_15,weather_delay_min,weather_share,delay_level,is_outlier,month_start
EIDW,2024-04-21,Dublin,Ireland,345,336,681,0,0,0,0,0,large_airport,53.428713,-6.262121,242.0,IE,IE-D,Dublin,yes,2024,4,Apr,Sunday,True,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
LPPT,2024-04-21,Lisbon,Portugal,328,327,655,1731,107,39,0,0,large_airport,38.7813,-9.13592,374.0,PT,PT-11,Lisbon,yes,2024,4,Apr,Sunday,True,2,Spring,5.293577981651376,0.327217125382263,0.11926605504587157,0,0.0,High,False,2024-04-01
LOWW,2024-04-22,Vienna,Austria,360,357,717,0,0,0,0,0,large_airport,48.110298,16.5697,600.0,AT,AT-9,Vienna,yes,2024,4,Apr,Monday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
EBBR,2024-04-22,Brussels,Belgium,273,286,559,32,4,1,32,0,large_airport,50.901402,4.48444,175.0,BE,BE-VBR,Zaventem,yes,2024,4,Apr,Monday,False,2,Spring,0.11188811188811189,0.013986013986013986,0.0034965034965034965,32,1.0,Low,False,2024-04-01
EKCH,2024-04-22,Copenhagen - Kastrup,Denmark,369,364,733,0,0,0,0,0,large_airport,55.617900848389,12.656000137329,17.0,DK,DK-84,Copenhagen,yes,2024,4,Apr,Monday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
EIDW,2024-04-22,Dublin,Ireland,345,359,704,0,0,0,0,0,large_airport,53.428713,-6.262121,242.0,IE,IE-D,Dublin,yes,2024,4,Apr,Monday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
LPPT,2024-04-22,Lisbon,Portugal,316,331,647,1254,80,36,0,0,large_airport,38.7813,-9.13592,374.0,PT,PT-11,Lisbon,yes,2024,4,Apr,Monday,False,2,Spring,3.788519637462236,0.24169184290030213,0.10876132930513595,0,0.0,Medium,False,2024-04-01
LOWW,2024-04-23,Vienna,Austria,346,348,694,0,0,0,0,0,large_airport,48.110298,16.5697,600.0,AT,AT-9,Vienna,yes,2024,4,Apr,Tuesday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
EBBR,2024-04-23,Brussels,Belgium,262,264,526,0,0,0,0,0,large_airport,50.901402,4.48444,175.0,BE,BE-VBR,Zaventem,yes,2024,4,Apr,Tuesday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
EKCH,2024-04-23,Copenhagen - Kastrup,Denmark,351,354,705,0,0,0,0,0,large_airport,55.617900848389,12.656000137329,17.0,DK,DK-84,Copenhagen,yes,2024,4,Apr,Tuesday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
EIDW,2024-04-23,Dublin,Ireland,348,344,692,0,0,0,0,0,large_airport,53.428713,-6.262121,242.0,IE,IE-D,Dublin,yes,2024,4,Apr,Tuesday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
LPPT,2024-04-23,Lisbon,Portugal,308,310,618,1120,78,30,0,0,large_airport,38.7813,-9.13592,374.0,PT,PT-11,Lisbon,yes,2024,4,Apr,Tuesday,False,2,Spring,3.6129032258064515,0.25161290322580643,0.0967741935483871,0,0.0,Medium,False,2024-04-01
LOWW,2024-04-24,Vienna,Austria,373,368,741,0,0,0,0,0,large_airport,48.110298,16.5697,600.0,AT,AT-9,Vienna,yes,2024,4,Apr,Wednesday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
EBBR,2024-04-24,Brussels,Belgium,283,279,562,80,13,0,0,0,large_airport,50.901402,4.48444,175.0,BE,BE-VBR,Zaventem,yes,2024,4,Apr,Wednesday,False,2,Spring,0.2867383512544803,0.04659498207885305,0.0,0,0.0,Low,False,2024-04-01
EKCH,2024-04-24,Copenhagen - Kastrup,Denmark,360,360,720,66,12,0,0,0,large_airport,55.617900848389,12.656000137329,17.0,DK,DK-84,Copenhagen,yes,2024,4,Apr,Wednesday,False,2,Spring,0.18333333333333332,0.03333333333333333,0.0,0,0.0,Low,False,2024-04-01
EIDW,2024-04-24,Dublin,Ireland,352,349,701,0,0,0,0,0,large_airport,53.428713,-6.262121,242.0,IE,IE-D,Dublin,yes,2024,4,Apr,Wednesday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
LPPT,2024-04-24,Lisbon,Portugal,315,314,629,1493,109,39,0,0,large_airport,38.7813,-9.13592,374.0,PT,PT-11,Lisbon,yes,2024,4,Apr,Wednesday,False,2,Spring,4.754777070063694,0.3471337579617834,0.12420382165605096,0,0.0,Medium,False,2024-04-01
LOWW,2024-04-25,Vienna,Austria,349,353,702,0,0,0,0,0,large_airport,48.110298,16.5697,600.0,AT,AT-9,Vienna,yes,2024,4,Apr,Thursday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
EBBR,2024-04-25,Brussels,Belgium,283,283,566,0,0,0,0,0,large_airport,50.901402,4.48444,175.0,BE,BE-VBR,Zaventem,yes,2024,4,Apr,Thursday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
EKCH,2024-04-25,Copenhagen - Kastrup,Denmark,352,355,707,0,0,0,0,0,large_airport,55.617900848389,12.656000137329,17.0,DK,DK-84,Copenhagen,yes,2024,4,Apr,Thursday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
EIDW,2024-04-25,Dublin,Ireland,338,344,682,0,0,0,0,0,large_airport,53.428713,-6.262121,242.0,IE,IE-D,Dublin,yes,2024,4,Apr,Thursday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
LPPT,2024-04-25,Lisbon,Portugal,301,292,593,1361,53,34,0,0,large_airport,38.7813,-9.13592,374.0,PT,PT-11,Lisbon,yes,2024,4,Apr,Thursday,False,2,Spring,4.660958904109589,0.1815068493150685,0.11643835616438356,0,0.0,Medium,False,2024-04-01
LOWW,2024-04-26,Vienna,Austria,387,384,771,0,0,0,0,0,large_airport,48.110298,16.5697,600.0,AT,AT-9,Vienna,yes,2024,4,Apr,Friday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
EBBR,2024-04-26,Brussels,Belgium,285,272,557,0,0,0,0,0,large_airport,50.901402,4.48444,175.0,BE,BE-VBR,Zaventem,yes,2024,4,Apr,Friday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
EKCH,2024-04-26,Copenhagen - Kastrup,Denmark,380,389,769,0,0,0,0,0,large_airport,55.617900848389,12.656000137329,17.0,DK,DK-84,Copenhagen,yes,2024,4,Apr,Friday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
EIDW,2024-04-26,Dublin,Ireland,374,369,743,0,0,0,0,0,large_airport,53.428713,-6.262121,242.0,IE,IE-D,Dublin,yes,2024,4,Apr,Friday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
LPPT,2024-04-26,Lisbon,Portugal,333,327,660,1157,106,26,0,0,large_airport,38.7813,-9.13592,374.0,PT,PT-11,Lisbon,yes,2024,4,Apr,Friday,False,2,Spring,3.53822629969419,0.3241590214067278,0.07951070336391437,0,0.0,Medium,False,2024-04-01
LOWW,2024-04-27,Vienna,Austria,320,323,643,0,0,0,0,0,large_airport,48.110298,16.5697,600.0,AT,AT-9,Vienna,yes,2024,4,Apr,Saturday,True,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
EBBR,2024-04-27,Brussels,Belgium,232,244,476,0,0,0,0,0,large_airport,50.901402,4.48444,175.0,BE,BE-VBR,Zaventem,yes,2024,4,Apr,Saturday,True,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
EKCH,2024-04-27,Copenhagen - Kastrup,Denmark,273,271,544,368,29,7,175,0,large_airport,55.617900848389,12.656000137329,17.0,DK,DK-84,Copenhagen,yes,2024,4,Apr,Saturday,True,2,Spring,1.3579335793357934,0.1070110701107011,0.025830258302583026,175,0.47554347826086957,Medium,False,2024-04-01
EIDW,2024-04-27,Dublin,Ireland,331,327,658,0,0,0,0,0,large_airport,53.428713,-6.262121,242.0,IE,IE-D,Dublin,yes,2024,4,Apr,Saturday,True,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
LPPT,2024-04-27,Lisbon,Portugal,329,329,658,1861,113,59,0,0,large_airport,38.7813,-9.13592,374.0,PT,PT-11,Lisbon,yes,2024,4,Apr,Saturday,True,2,Spring,5.656534954407295,0.3434650455927052,0.17933130699088146,0,0.0,High,False,2024-04-01
LOWW,2024-04-28,Vienna,Austria,332,330,662,0,0,0,0,0,large_airport,48.110298,16.5697,600.0,AT,AT-9,Vienna,yes,2024,4,Apr,Sunday,True,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
EBBR,2024-04-28,Brussels,Belgium,278,270,548,0,0,0,0,0,large_airport,50.901402,4.48444,175.0,BE,BE-VBR,Zaventem,yes,2024,4,Apr,Sunday,True,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
EKCH,2024-04-28,Copenhagen - Kastrup,Denmark,352,344,696,0,0,0,0,0,large_airport,55.617900848389,12.656000137329,17.0,DK,DK-84,Copenhagen,yes,2024,4,Apr,Sunday,True,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
EIDW,2024-04-28,Dublin,Ireland,340,343,683,0,0,0,0,0,large_airport,53.428713,-6.262121,242.0,IE,IE-D,Dublin,yes,2024,4,Apr,Sunday,True,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
LPPT,2024-04-28,Lisbon,Portugal,337,330,667,2894,166,84,0,0,large_airport,38.7813,-9.13592,374.0,PT,PT-11,Lisbon,yes,2024,4,Apr,Sunday,True,2,Spring,8.76969696969697,0.503030303030303,0.2545454545454545,0,0.0,High,False,2024-04-01
LOWW,2024-04-29,Vienna,Austria,365,361,726,0,0,0,0,0,large_airport,48.110298,16.5697,600.0,AT,AT-9,Vienna,yes,2024,4,Apr,Monday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
EBBR,2024-04-29,Brussels,Belgium,263,279,542,0,0,0,0,0,large_airport,50.901402,4.48444,175.0,BE,BE-VBR,Zaventem,yes,2024,4,Apr,Monday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
EKCH,2024-04-29,Copenhagen - Kastrup,Denmark,373,371,744,0,0,0,0,0,large_airport,55.617900848389,12.656000137329,17.0,DK,DK-84,Copenhagen,yes,2024,4,Apr,Monday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
EIDW,2024-04-29,Dublin,Ireland,351,351,702,0,0,0,0,0,large_airport,53.428713,-6.262121,242.0,IE,IE-D,Dublin,yes,2024,4,Apr,Monday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
LPPT,2024-04-29,Lisbon,Portugal,310,330,640,679,43,20,0,0,large_airport,38.7813,-9.13592,374.0,PT,PT-11,Lisbon,yes,2024,4,Apr,Monday,False,2,Spring,2.0575757575757576,0.1303030303030303,0.06060606060606061,0,0.0,Medium,False,2024-04-01
LOWW,2024-04-30,Vienna,Austria,356,358,714,0,0,0,0,0,large_airport,48.110298,16.5697,600.0,AT,AT-9,Vienna,yes,2024,4,Apr,Tuesday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
EBBR,2024-04-30,Brussels,Belgium,273,270,543,0,0,0,0,0,large_airport,50.901402,4.48444,175.0,BE,BE-VBR,Zaventem,yes,2024,4,Apr,Tuesday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-04-01
